Period Ending,Country/Region,CLDR Territory Code,Product,Legal Process,Enterprise Cloud customer requests,Enterprise Cloud customers,Percentage disclosed
2019-12-31,Argentina,AR,Google Workspace,Other Legal Requests,1,1,0
2019-12-31,Argentina,AR,Google Workspace,Preservation Requests,1,1,
2019-12-31,Austria,AT,Google Workspace,Other Legal Requests,5,9,0
2019-12-31,Brazil,BR,GCP,Preservation Requests,1,1,
2019-12-31,Brazil,BR,Google Workspace,Other Legal Requests,13,16,23
2019-12-31,Brazil,BR,Google Workspace,Preservation Requests,1,1,
2019-12-31,Canada,CA,GCP,Preservation Requests,1,1,
2019-12-31,Canada,CA,Google Workspace,Emergency Disclosure Requests,1,1,100
2019-12-31,Chile,CL,Google Workspace,Other Legal Requests,2,2,50
2019-12-31,Denmark,DK,Google Workspace,Other Legal Requests,1,1,0
2019-12-31,France,FR,Google Workspace,Other Legal Requests,3,3,0
2019-12-31,Germany,DE,Google Workspace,Other Legal Requests,19,19,5
2019-12-31,Germany,DE,Google Workspace,Preservation Requests,3,3,
2019-12-31,India,IN,Google Workspace,Other Legal Requests,18,18,17
2019-12-31,Italy,IT,Google Workspace,Other Legal Requests,1,1,0
2019-12-31,Malta,MT,Google Workspace,Other Legal Requests,1,1,0
2019-12-31,Netherlands,NL,Google Workspace,Other Legal Requests,1,1,0
2019-12-31,Singapore,SG,Google Workspace,Other Legal Requests,1,43,100
2019-12-31,Switzerland,CH,Google Workspace,Other Legal Requests,1,1,0
2019-12-31,Taiwan,TW,Google Workspace,Emergency Disclosure Requests,1,1,100
2019-12-31,United Kingdom,GB,Google Workspace,Other Legal Requests,5,5,20
2019-12-31,United States,US,GCP,Emergency Disclosure Requests,1,1,0
2019-12-31,United States,US,GCP,Other Court Orders,1,1,0
2019-12-31,United States,US,GCP,Subpoenas,6,7,0
2019-12-31,United States,US,Google Workspace,Emergency Disclosure Requests,13,13,77
2019-12-31,United States,US,Google Workspace,Other Court Orders,49,144,76
2019-12-31,United States,US,Google Workspace,Pen Register Orders,4,4,75
2019-12-31,United States,US,Google Workspace,Preservation Requests,130,143,
2019-12-31,United States,US,Google Workspace,Search Warrants,85,88,61
2019-12-31,United States,US,Google Workspace,Subpoenas,49,53,78
2020-06-30,Argentina,AR,Google Workspace,Preservation Requests,1,1,
2020-06-30,Australia,AU,Google Workspace,Other Legal Requests,2,2,0
2020-06-30,Brazil,BR,GCP,Other Legal Requests,1,1,0
